"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00470","YP_788194.1","hypothetical protein","72","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00480","YP_788195.1","hypothetical protein","76","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00490","YP_788196.1","hemolysin activation/secretion protein","563","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00510","YP_788197.1","hemagglutinin","3444","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00520","YP_788198.1","hypothetical protein","41","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00530","YP_788199.1","hypothetical protein","132","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00550","YP_788200.1","hypothetical protein","470","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00560","YP_788201.1","exoenzyme T","443","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00570","YP_788202.1","lipoprotein","229","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00580","YP_788203.1","lipoprotein","118","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00590","YP_788204.1","lipoprotein","170","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00600","YP_788205.1","transcriptional regulator","128","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00620","YP_788206.1","hypothetical protein","554","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00630","YP_788207.1","hypothetical protein","47","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00640","YP_788208.1","potential phenazine-modifying enzyme","611","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00650","YP_788209.1","hypothetical protein","143","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00660","YP_788210.1","RNA 2'-phosphotransferase-like protein","183","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00670","YP_788211.1","hypothetical protein","169","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00680","YP_788212.1","LysR family transcriptional regulator","307","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00690","YP_788213.1","hypothetical protein","296","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00700","YP_788214.1","hypothetical protein","235","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00710","YP_788215.1","osmotically inducible protein OsmC","152","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00720","YP_788216.1","hypothetical protein","78","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00730","YP_788217.1","hypothetical protein","146","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00740","YP_788218.1","lipoprotein","139","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00750","YP_788219.1","hypothetical protein","376","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00760","YP_788220.1","hypothetical protein","328","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00770","YP_788221.1","hypothetical protein","222","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00780","YP_788222.1","hypothetical protein","181","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00790","YP_788223.1","oligopeptidase A","682","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00800","YP_788224.1","hypothetical protein","92","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00810","YP_788225.1","DNA repair photolyase","353","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00820","YP_788226.1","TagQ1","305","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00830","YP_788227.1","TagR1","571","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00850","YP_788228.1","TagS1","400","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00860","YP_788229.1","TagT1","240","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00875","YP_788230.1","serine/threonine protein kinase PpkA","1033","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00890","YP_788231.1","PppA","243","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00900","YP_788232.1","TagF1","227","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00910","YP_788233.1","IcmF1","1103","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00925","YP_788234.1","TssL1","450","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00940","YP_788235.1","TssK1","445","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00960","YP_788236.1","TssJ1","155","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00970","YP_788237.1","hypothetical protein","181","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00980","YP_788238.1","Fha1","320","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_00990","YP_788239.1","TssA1","345","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01010","YP_788240.1","HsiB1","173","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01020","YP_788241.1","HsiC1","499","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01030","YP_788242.1","Hcp1","163","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01040","YP_788243.1","TagJ1","282","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01060","YP_788244.1","TssE1","170","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01070","YP_788245.1","TssF1","620","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01080","YP_788246.1","TssG1","349","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01100","YP_788247.1","ClpV1","903","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01110","YP_788248.1","VgrG1a","644","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01120","YP_788249.1","Tsi6","95","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01130","YP_788250.1","hypothetical protein","78","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01140","YP_788251.1","Tse6","440","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01150","YP_788252.1","EagT6","145","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01160","YP_788253.1","hypothetical protein","742","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01170","YP_788254.1","hypothetical protein","150","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01180","YP_788255.1","hypothetical protein","400","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01190","YP_788256.1","3-oxoacyl-ACP synthase","346","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01200","YP_788257.1","hypothetical protein","364","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01220","YP_788258.1","hypothetical protein","307","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01230","YP_788259.1","hypothetical protein","411","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01240","YP_788260.1","carbonic anhydrase","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01250","YP_788261.1","sulfate transporter","524","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01270","YP_788262.1","hypothetical protein","199","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01290","YP_788263.1","cytochrome c oxidase subunit II","375","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01300","YP_788264.1","cytochrome c oxidase subunit I","531","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01310","YP_788265.1","cytochrome C oxidase assembly protein","185","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01320","YP_788266.1","cytochrome c oxidase subunit III","296","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01330","YP_788267.1","hypothetical protein","70","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01340","YP_788268.1","hypothetical protein","265","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01350","YP_788269.1","hypothetical protein","193","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01360","YP_788270.1","hypothetical protein","358","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01380","YP_788271.1","protoheme IX farnesyltransferase","305","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01390","YP_788272.1","hypothetical protein","212","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01400","YP_788273.1","hypothetical protein","151","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01410","YP_788274.1","hypothetical protein","158","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01430","YP_788275.1","short chain dehydrogenase","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01440","YP_788276.1","hypothetical protein","196","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01460","YP_788277.1","C4-dicarboxylate transporter DctA","450","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01470","YP_788278.1","transcriptional regulator","229","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01480","YP_788279.1","hypothetical protein","245","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01490","YP_788280.1","hemolysin","137","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01500","YP_788281.1","transcriptional regulator","303","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01510","YP_788282.1","hypothetical protein","94","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01520","YP_788283.1","hypothetical protein","76","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01540","YP_788284.1","hypothetical protein","208","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01550","YP_788285.1","lipoprotein","167","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01560","YP_788286.1","hypothetical protein","114","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01580","YP_788287.1","gamma-aminobutyrate permease","476","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01600","YP_788288.1","aldehyde dehydrogenase","498","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01610","YP_788289.1","hypothetical protein","96","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01620","YP_788290.1","beta alanine--pyruvate transaminase","449","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01640","YP_788291.1","LysR family transcriptional regulator","306","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01660","YP_788292.1","guanine deaminase","457","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01670","YP_788293.1","ABC transporter ATP-binding protein","524","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01680","YP_788294.1","ABC transporter permease","366","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01690","YP_788295.1","ABC transporter permease","327","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01710","YP_788296.1","alkyl hydroperoxide reductase","188","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01720","YP_788297.1","alkyl hydroperoxide reductase","522","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01730","YP_788298.1","hypothetical protein","299","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01750","YP_788299.1","hydroxydechloroatrazine ethylaminohydrolase","450","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01760","YP_788300.1","nonspecific ribonucleoside hydrolase","330","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01770","YP_788301.1","nucleoside-binding outer membrane protein","283","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01780","YP_788302.1","nucleoside 2-deoxyribosyltransferase","209","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01790","YP_788303.1","nucleoside 2-deoxyribosyltransferase","173","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01800","YP_788304.1","hypothetical protein","366","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01810","YP_788305.1","oxidoreductase","321","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01830","YP_788306.1","adenosine deaminase","317","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01840","YP_788307.1","RNA polymerase ECF-subfamily sigma-70 factor","182","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01860","YP_788308.1","transmembrane sensor","332","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01870","YP_788309.1","TonB-dependent receptor","796","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01890","YP_788310.1","transcriptional regulator PcaQ","276","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01900","YP_788311.1","protocatechuate 3,4-dioxygenase subunit beta","240","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01910","YP_788312.1","protocatechuate 3,4-dioxygenase subunit alpha","202","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01930","YP_788313.1","transcriptional regulator PcaR","280","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01940","YP_788314.1","RND efflux membrane fusion protein","384","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01960","YP_788315.1","RND efflux membrane fusion protein","357","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01970","YP_788316.1","RND efflux transporter","1016","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01980","YP_788317.1","LysR family transcriptional regulator","313","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_01990","YP_788318.1","hypothetical protein","62","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02010","YP_788319.1","hypothetical protein","51","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02020","YP_788320.1","outer membrane porin","445","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02030","YP_788321.1","AraC family transcriptional regulator","266","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02050","YP_788322.1","gamma-glutamyltranspeptidase","539","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02060","YP_788323.1","hypothetical protein","279","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02070","YP_788324.1","transporter","469","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02090","YP_788325.1","TetR family transcriptional regulator","222","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02100","YP_788326.1","hypothetical protein","197","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02110","YP_788327.1","diguanylate cyclase","236","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02130","YP_788328.1","hypothetical protein","127","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02140","YP_788329.1","hypothetical protein","181","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02150","YP_788330.1","hypothetical protein","664","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02180","YP_788331.1","chemotaxis-specific methylesterase","350","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02190","YP_788332.1","hypothetical protein","201","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02200","YP_788333.1","chemotaxis protein methyltransferase","281","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02220","YP_788334.1","chemotaxis transducer","680","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02230","YP_788335.1","purine-binding chemotaxis protein","162","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02250","YP_788336.1","two-component sensor","640","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02260","YP_788337.1","two-component response regulator","122","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02270","YP_788338.1","chemotaxis transducer","391","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02290","YP_788339.1","LysR family transcriptional regulator","312","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02300","YP_788340.1","3-ketoacyl-ACP reductase","251","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02310","YP_788341.1","arylsulfatase","537","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02330","YP_788342.1","ABC transporter ATP-binding protein","280","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02340","YP_788343.1","ABC transporter permease","539","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02360","YP_788344.1","ABC transporter substrate-binding protein","354","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02370","YP_788345.1","porin","453","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02380","YP_788346.1","acid phosphatase","242","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02390","YP_788347.1","transcriptional regulator","306","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02410","YP_788348.1","TonB-dependent receptor","791","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02420","YP_788349.1","hypothetical protein","301","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02435","YP_788350.1","hypothetical protein","300","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_02450","YP_788351.1","NAD(P) transhydrogenase subunit alpha part 1","373","Cytoplasmic Membrane","Class 3","Primary"
