"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128935","b0968","NP_415488.1","weak acylphosphatase","57945","Pseudomonas aeruginosa PAO1","15596151","PA0954","NP_249645.1","acylphosphatase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128745","b0777","NP_415298.1","malonyl-CoA methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15595700","PA0503","NP_249194.1","biotin synthesis protein BioC","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128192","b0199","NP_414741.1","DL-methionine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600696","PA5503","NP_254190.1","ATP-binding component of ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111569","b3325","NP_417784.4","general secretory pathway component, cryptic","57945","Pseudomonas aeruginosa PAO1","15597065","PA1868","NP_250559.1","secretion protein XqhA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111569","b3325","NP_417784.4","general secretory pathway component, cryptic","57945","Pseudomonas aeruginosa PAO1","15598301","PA3105","NP_251795.1","general secretion pathway protein D","1","","PA1868[secretion protein XqhA]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128623","b0640","NP_415173.1","DNA polymerase III, delta subunit","57945","Pseudomonas aeruginosa PAO1","15599184","PA3989","NP_252678.1","DNA polymerase III subunit delta","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111135","b0435","NP_414969.4","stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC","57945","Pseudomonas aeruginosa PAO1","15596054","PA0857","NP_249548.1","morphogene protein BolA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128970","b1004","NP_415524.1","NAD(P)H:quinone oxidoreductase","57945","Pseudomonas aeruginosa PAO1","15596146","PA0949","NP_249640.1","Trp repressor binding protein WrbA","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111419","b2330","NP_416833.4","N5-glutamine methyltransferase","57945","Pseudomonas aeruginosa PAO1","15596875","PA1678","NP_250369.1","N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129817","b1864","NP_416378.1","conserved protein, UPF0082 family","57945","Pseudomonas aeruginosa PAO1","15596161","PA0964","NP_249655.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128394","b0409","NP_414943.1","SecYEG protein translocase auxillary subunit","57945","Pseudomonas aeruginosa PAO1","15599015","PA3820","NP_252509.1","preprotein translocase subunit SecF","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111515","b2946","NP_417421.4","16S rRNA m(3)U1498 methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15595616","PA0419","NP_249110.1","16S ribosomal RNA methyltransferase RsmE","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131183","b3304","NP_417763.1","50S ribosomal subunit protein L18","57945","Pseudomonas aeruginosa PAO1","15599443","PA4247","NP_252937.1","50S ribosomal protein L18","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131000","b3105","NP_417576.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15598421","PA3225","NP_251915.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111371","b2015","NP_416519.4","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15598421","PA3225","NP_251915.1","transcriptional regulator","3","b3105[predicted DNA-binding transcriptional regulator];b0504[DNA-binding transcriptional activator of the allD operon];b1659[predicted DNA-binding transcriptional regulator]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128488","b0504","NP_415037.1","DNA-binding transcriptional activator of the allD operon","57945","Pseudomonas aeruginosa PAO1","15598421","PA3225","NP_251915.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129617","b1659","NP_416176.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15598421","PA3225","NP_251915.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130139","b2202","NP_416706.1","Quinol dehydrogenase, electron source for NapAB","57945","Pseudomonas aeruginosa PAO1","15596369","PA1172","NP_249863.1","cytochrome C protein NapC","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130476","b2551","NP_417046.1","serine hydroxymethyltransferase","57945","Pseudomonas aeruginosa PAO1","15599798","PA4602","NP_253292.1","serine hydroxymethyltransferase","2","","PA2444[serine hydroxymethyltransferase];PA5415[serine hydroxymethyltransferase]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130476","b2551","NP_417046.1","serine hydroxymethyltransferase","57945","Pseudomonas aeruginosa PAO1","15597640","PA2444","NP_251134.1","serine hydroxymethyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130476","b2551","NP_417046.1","serine hydroxymethyltransferase","57945","Pseudomonas aeruginosa PAO1","15600608","PA5415","NP_254102.1","serine hydroxymethyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131753","b3915","NP_418350.1","ferrous iron and zinc transporter","57945","Pseudomonas aeruginosa PAO1","15599158","PA3963","NP_252652.1","transporter","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111741","b4359","NP_418779.2","phosphoglycerol transferases I and II","57945","Pseudomonas aeruginosa PAO1","15596312","PA1115","NP_249806.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111741","b4359","NP_418779.2","phosphoglycerol transferases I and II","57945","Pseudomonas aeruginosa PAO1","15596886","PA1689","NP_250380.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131297","b3423","NP_417881.1","DNA-binding transcriptional repressor","57945","Pseudomonas aeruginosa PAO1","15598779","PA3583","NP_252273.1","glycerol-3-phosphate regulon repressor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128651","b0675","NP_415201.1","UMP phosphatase","57945","Pseudomonas aeruginosa PAO1","15599081","PA3886","NP_252575.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128459","b0475","NP_415008.1","ferrochelatase","57945","Pseudomonas aeruginosa PAO1","15599850","PA4655","NP_253344.1","ferrochelatase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132112","b4291","NP_418711.1","KpLE2 phage-like element; ferric citrate outer membrane transporter","57945","Pseudomonas aeruginosa PAO1","15599096","PA3901","NP_252590.1","Fe(III) dicitrate transporter FecA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128650","b0674","NP_415200.1","asparagine synthetase B","57945","Pseudomonas aeruginosa PAO1","15598655","PA3459","NP_252149.1","glutamine amidotransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128650","b0674","NP_415200.1","asparagine synthetase B","57945","Pseudomonas aeruginosa PAO1","15595249","PA0051","NP_248741.1","potential phenazine-modifying enzyme","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128650","b0674","NP_415200.1","asparagine synthetase B","57945","Pseudomonas aeruginosa PAO1","15597280","PA2084","NP_250774.1","asparagine synthetase","2","","PA3459[glutamine amidotransferase];PA0051[potential phenazine-modifying enzyme]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128202","b0215","NP_414751.1","DNA polymerase III epsilon subunit","57945","Pseudomonas aeruginosa PAO1","15597013","PA1816","NP_250507.1","DNA polymerase III subunit epsilon","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128002","b0008","NP_414549.1","transaldolase B","57945","Pseudomonas aeruginosa PAO1","15597992","PA2796","NP_251486.1","transaldolase B","1","b2464[transaldolase A]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130389","b2464","NP_416959.1","transaldolase A","57945","Pseudomonas aeruginosa PAO1","15597992","PA2796","NP_251486.1","transaldolase B","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129581","b1623","NP_416140.1","adenosine deaminase","57945","Pseudomonas aeruginosa PAO1","15595346","PA0148","NP_248838.1","adenosine deaminase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131077","b3187","NP_417654.1","octaprenyl diphosphate synthase","57945","Pseudomonas aeruginosa PAO1","15599765","PA4569","NP_253259.1","octaprenyl-diphosphate synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131178","b3299","NP_417758.1","50S ribosomal subunit protein L36","57945","Pseudomonas aeruginosa PAO1","15599438","PA4242","NP_252932.1","50S ribosomal protein L36","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176045","b0759","NP_415280.3","UDP-galactose-4-epimerase","57945","Pseudomonas aeruginosa PAO1","15596581","PA1384","NP_250075.1","UDP-glucose 4-epimerase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131395","b3523","NP_417980.1","inner membrane protein, predicted transporter","57945","Pseudomonas aeruginosa PAO1","15598944","PA3749","NP_252438.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129249","b1288","NP_415804.1","enoyl-[acyl-carrier-protein] reductase, NADH-dependent","57945","Pseudomonas aeruginosa PAO1","15597003","PA1806","NP_250497.1","NADH-dependent enoyl-ACP reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176352","b4475","YP_026219.1","RNA 3'-terminal phosphate cyclase","57945","Pseudomonas aeruginosa PAO1","15599781","PA4585","NP_253275.1","RNA 3'-terminal-phosphate cyclase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128386","b0401","NP_414935.1","Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val","57945","Pseudomonas aeruginosa PAO1","15597167","PA1971","NP_250661.1","branched-chain amino acid ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129835","b1883","NP_416397.1","fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA","57945","Pseudomonas aeruginosa PAO1","15595371","PA0173","NP_248863.1","chemotaxis-specific methylesterase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131601","b3733","NP_418189.1","F1 sector of membrane-bound ATP synthase, gamma subunit","57945","Pseudomonas aeruginosa PAO1","15600748","PA5555","NP_254242.1","F0F1 ATP synthase subunit gamma","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111142","b0492","NP_415025.4","DnaK co-chaperone, thioredoxin-like protein","57945","Pseudomonas aeruginosa PAO1","15599256","PA4061","NP_252750.1","thioredoxin","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128747","b0779","NP_415300.1","excinulease of nucleotide excision repair, DNA damage recognition component","57945","Pseudomonas aeruginosa PAO1","15598334","PA3138","NP_251828.1","excinuclease ABC subunit B","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128501","b0517","NP_415050.1","ureidoglycolate dehydrogenase","57945","Pseudomonas aeruginosa PAO1","15596449","PA1252","NP_249943.1","L-malate dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128769","b0801","NP_415322.1","predicted dehydrogenase","57945","Pseudomonas aeruginosa PAO1","15596449","PA1252","NP_249943.1","L-malate dehydrogenase","2","b0517[ureidoglycolate dehydrogenase];b3575[2,3-diketo-L-gulonate reductase, NADH-dependent]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131446","b3575","NP_418032.1","2,3-diketo-L-gulonate reductase, NADH-dependent","57945","Pseudomonas aeruginosa PAO1","15596449","PA1252","NP_249943.1","L-malate dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111157","b0637","NP_415170.4","ribosome-associated protein","57945","Pseudomonas aeruginosa PAO1","15599200","PA4005","NP_252694.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130118","b2180","NP_416685.1","microcin C transporter, ATP-binding subunit; ABC family","57945","Pseudomonas aeruginosa PAO1","15597004","PA1807","NP_250498.1","ATP-binding component of ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130113","b2175","NP_416680.1","mutational suppressor of prc thermosensitivity, outer membrane lipoprotein","57945","Pseudomonas aeruginosa PAO1","15596395","PA1198","NP_249889.1","hypothetical protein","1","b1708[predicted peptidase, C40 clan, lipoprotein]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129664","b1708","NP_416223.1","predicted peptidase, C40 clan, lipoprotein","57945","Pseudomonas aeruginosa PAO1","15596395","PA1198","NP_249889.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128510","b0526","NP_415059.1","cysteinyl-tRNA synthetase","57945","Pseudomonas aeruginosa PAO1","15596992","PA1795","NP_250486.1","cysteinyl-tRNA synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130432","b2507","NP_417002.1","GMP synthetase (glutamine aminotransferase)","57945","Pseudomonas aeruginosa PAO1","15598964","PA3769","NP_252458.1","GMP synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128852","b0885","NP_415405.1","leucyl/phenylalanyl-tRNA-protein transferase","57945","Pseudomonas aeruginosa PAO1","15597813","PA2617","NP_251307.1","leucyl/phenylalanyl-tRNA--protein transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128081","b0088","NP_414630.1","UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase","57945","Pseudomonas aeruginosa PAO1","15599610","PA4414","NP_253104.1","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129964","b2023","NP_416527.1","imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF","57945","Pseudomonas aeruginosa PAO1","15600335","PA5142","NP_253829.1","imidazole glycerol phosphate synthase subunit HisH","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129964","b2023","NP_416527.1","imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF","57945","Pseudomonas aeruginosa PAO1","15598348","PA3152","NP_251842.1","imidazole glycerol phosphate synthase subunit HisH","1","","PA5142[imidazole glycerol phosphate synthase subunit HisH]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130597","b2685","NP_417170.1","multidrug efflux system","57945","Pseudomonas aeruginosa PAO1","15600352","PA5159","NP_253846.1","multidrug resistance protein","1","b2368[EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component]","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130300","b2368","NP_416869.1","EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component","57945","Pseudomonas aeruginosa PAO1","15600352","PA5159","NP_253846.1","multidrug resistance protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131806","b3972","NP_418403.1","UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding","57945","Pseudomonas aeruginosa PAO1","15598173","PA2977","NP_251667.1","UDP-N-acetylenolpyruvoylglucosamine reductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130388","b2463","NP_416958.1","fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase","57945","Pseudomonas aeruginosa PAO1","15600239","PA5046","NP_253733.1","malic enzyme","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129063","b1100","NP_415618.1","predicted DNAse","57945","Pseudomonas aeruginosa PAO1","15598155","PA2959","NP_251649.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130311","b2379","NP_416880.1","valine-pyruvate aminotransferase 3","57945","Pseudomonas aeruginosa PAO1","15599909","PA4715","NP_253403.1","aminotransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111329","b1777","NP_416291.4","conserved protein","57945","Pseudomonas aeruginosa PAO1","15598281","PA3085","NP_251775.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129569","b1611","NP_416128.1","fumarate hydratase (fumarase C),aerobic Class II","57945","Pseudomonas aeruginosa PAO1","15596051","PA0854","NP_249545.1","fumarate hydratase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176017","b0383","NP_414917.2","bacterial alkaline phosphatase","57945","Pseudomonas aeruginosa PAO1","15598492","PA3296","NP_251986.1","alkaline phosphatase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111269","b1422","NP_415939.2","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15595350","PA0152","NP_248842.1","transcriptional regulator PcaQ","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128803","b0835","NP_415356.1","ribosomal protein S12 methylthiotransferase; radical SAM superfamily","57945","Pseudomonas aeruginosa PAO1","15596113","PA0916","NP_249607.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131171","b3292","NP_417751.1","DNA-binding transcriptional activator in response to Zn(II)","57945","Pseudomonas aeruginosa PAO1","15598885","PA3689","NP_252379.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111123","b0369","NP_414903.4","5-aminolevulinate dehydratase (porphobilinogen synthase)","57945","Pseudomonas aeruginosa PAO1","15600436","PA5243","NP_253930.1","delta-aminolevulinic acid dehydratase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128500","b0516","NP_415049.1","allantoate amidohydrolase","57945","Pseudomonas aeruginosa PAO1","15595641","PA0444","NP_249135.1","allantoate amidohydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131606","b3738","NP_418194.1","F0 sector of membrane-bound ATP synthase, subunit a","57945","Pseudomonas aeruginosa PAO1","15600753","PA5560","NP_254247.1","F0F1 ATP synthase subunit A","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129029","b1066","NP_415584.1","ribosomal-protein-S5-alanine N-acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15597124","PA1928","NP_250618.1","ribosomal protein alanine acetyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698269","b1649","NP_416166.3","transcriptional repressor for the nem operon, NEM-inactivated","57945","Pseudomonas aeruginosa PAO1","15597392","PA2196","NP_250886.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130733","b2829","NP_417306.1","fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein","57945","Pseudomonas aeruginosa PAO1","15595534","PA0337","NP_249028.1","phosphoenolpyruvate-protein phosphotransferase PtsP","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128753","b0785","NP_415306.1","molybdopterin synthase, large subunit","57945","Pseudomonas aeruginosa PAO1","15599111","PA3916","NP_252605.1","molybdopterin converting factor, large subunit","","","",""
