#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P45955	uniprotkb:P19934	-	-	uniprotkb:cpoB(gene name)|uniprotkb:Cell division coordinator CpoB(recommended name)|uniprotkb:cpoB(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Walburger et al. (2002)	pubmed:11994151	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P45955	uniprotkb:P19934	-	-	uniprotkb:cpoB(gene name)|uniprotkb:Cell division coordinator CpoB(recommended name)|uniprotkb:cpoB(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Krachler et al. (2010)	pubmed:20816983	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A855	uniprotkb:P19934	-	-	uniprotkb:tolB(gene name)|uniprotkb:Tol-Pal system protein TolB(recommended name)|uniprotkb:tolB(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Walburger et al. (2002)	pubmed:11994151	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0ABV6	uniprotkb:P19934	-	-	uniprotkb:tolR(gene name)|uniprotkb:Tol-Pal system protein TolR(recommended name)|uniprotkb:tolR(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Derouiche et al. (1995)	pubmed:7744737	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0ABU9	uniprotkb:P19934	-	-	uniprotkb:tolQ(gene name)|uniprotkb:Tol-Pal system protein TolQ(recommended name)|uniprotkb:tolQ(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Germon et al. (1998)	pubmed:9851983	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0ABU9	uniprotkb:P19934	-	-	uniprotkb:tolQ(gene name)|uniprotkb:Tol-Pal system protein TolQ(recommended name)|uniprotkb:tolQ(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Derouiche et al. (1995)	pubmed:7744737	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A912	uniprotkb:P19934	-	-	uniprotkb:pal(gene name)|uniprotkb:Peptidoglycan-associated lipoprotein(recommended name)|uniprotkb:pal(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Cascales et al. (2004)	pubmed:14731286	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A912	uniprotkb:P19934	-	-	uniprotkb:pal(gene name)|uniprotkb:Peptidoglycan-associated lipoprotein(recommended name)|uniprotkb:pal(display_short)	uniprotkb:tolA(gene name)|uniprotkb:Tol-Pal system protein TolA(recommended name)|uniprotkb:tolA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Cascales et al. (2000)	pubmed:11115123	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P76014	uniprotkb:P76016	-	-	uniprotkb:dhaL(gene name)|uniprotkb:PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL(recommended name)|uniprotkb:dhaL(display_short)	uniprotkb:dhaR(gene name)|uniprotkb:PTS-dependent dihydroxyacetone kinase operon regulatory protein(recommended name)|uniprotkb:dhaR(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Bachler et al. (2004)	pubmed:15616579	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P76015	uniprotkb:P76016	-	-	uniprotkb:dhaK(gene name)|uniprotkb:PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK(recommended name)|uniprotkb:dhaK(display_short)	uniprotkb:dhaR(gene name)|uniprotkb:PTS-dependent dihydroxyacetone kinase operon regulatory protein(recommended name)|uniprotkb:dhaR(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Bachler et al. (2004)	pubmed:15616579	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0C8J6	uniprotkb:P0A6F5	-	-	uniprotkb:gatY(gene name)|uniprotkb:D-tagatose-1,6-bisphosphate aldolase subunit GatY(recommended name)|uniprotkb:gatY(display_short)	uniprotkb:groL(gene name)|uniprotkb:60 kDa chaperonin(recommended name)|uniprotkb:groL(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Houry et al. (1999)	pubmed:10647006	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A6F9	uniprotkb:P0A6F5	-	-	uniprotkb:groS(gene name)|uniprotkb:10 kDa chaperonin(recommended name)|uniprotkb:groS(display_short)	uniprotkb:groL(gene name)|uniprotkb:60 kDa chaperonin(recommended name)|uniprotkb:groL(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Chandrasekhar et al. (1986)	pubmed:3017973	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AG86	uniprotkb:P0AEE5	-	-	uniprotkb:secB(gene name)|uniprotkb:Protein-export protein SecB(recommended name)|uniprotkb:secB(display_short)	uniprotkb:mglB(gene name)|uniprotkb:D-galactose-binding periplasmic protein(recommended name)|uniprotkb:mglB(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Powers et al. (1995)	pubmed:7896722	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A910	uniprotkb:P0AEE5	-	-	uniprotkb:ompA(gene name)|uniprotkb:Outer membrane protein A(recommended name)|uniprotkb:ompA(display_short)	uniprotkb:mglB(gene name)|uniprotkb:D-galactose-binding periplasmic protein(recommended name)|uniprotkb:mglB(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Zheng et al. (2011)	pubmed:21697552	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AAM7	uniprotkb:P0ACE0	-	-	uniprotkb:hybG(gene name)|uniprotkb:Hydrogenase maturation factor HybG(recommended name)|uniprotkb:hybG(display_short)	uniprotkb:hybC(gene name)|uniprotkb:Hydrogenase-2 large chain(recommended name)|uniprotkb:hybC(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Blokesch et al. (2001)	pubmed:11292801	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AAN1	uniprotkb:P0ACE0	-	-	uniprotkb:hybE(gene name)|uniprotkb:Hydrogenase-2 operon protein HybE(recommended name)|uniprotkb:hybE(display_short)	uniprotkb:hybC(gene name)|uniprotkb:Hydrogenase-2 large chain(recommended name)|uniprotkb:hybC(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Dubini et al. (2003)	pubmed:12914940	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P76082	uniprotkb:P77467	-	-	uniprotkb:paaF(gene name)|uniprotkb:2,3-dehydroadipyl-CoA hydratase(recommended name)|uniprotkb:paaF(display_short)	uniprotkb:paaG(gene name)|uniprotkb:1,2-epoxyphenylacetyl-CoA isomerase(recommended name)|uniprotkb:paaG(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Grishin et al. (2012)	pubmed:22961985	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AEC8	uniprotkb:P0A830	-	-	uniprotkb:dcuS(gene name)|uniprotkb:Sensor histidine kinase DcuS(recommended name)|uniprotkb:dcuS(display_short)	uniprotkb:dctA(gene name)|uniprotkb:Aerobic C4-dicarboxylate transport protein(recommended name)|uniprotkb:dctA(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Witan et al. (2012)	pubmed:22780562	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0ADY3	uniprotkb:P0AAT6	-	-	uniprotkb:rplN(gene name)|uniprotkb:50S ribosomal protein L14(recommended name)|uniprotkb:rplN(display_short)	uniprotkb:rsfS(gene name)|uniprotkb:Ribosomal silencing factor RsfS(recommended name)|uniprotkb:rsfS(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Hauser et al. (2012)	pubmed:22829778	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A9L5	uniprotkb:P0AE08	-	-	uniprotkb:ppiC(gene name)|uniprotkb:Peptidyl-prolyl cis-trans isomerase C(recommended name)|uniprotkb:ppiC(display_short)	uniprotkb:ahpC(gene name)|uniprotkb:Alkyl hydroperoxide reductase C(recommended name)|uniprotkb:ahpC(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Malesevic et al. (2010)	pubmed:20806779	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P77522	uniprotkb:P77689	-	-	uniprotkb:sufB(gene name)|uniprotkb:FeS cluster assembly protein SufB(recommended name)|uniprotkb:sufB(display_short)	uniprotkb:sufD(gene name)|uniprotkb:FeS cluster assembly protein SufD(recommended name)|uniprotkb:sufD(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Butland et al. (2005)	pubmed:15690043	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P42641	uniprotkb:P0AG24	-	-	uniprotkb:obgE(gene name)|uniprotkb:GTPase ObgE/CgtA(recommended name)|uniprotkb:obgE(display_short)	uniprotkb:spoT(gene name)|uniprotkb:"Bifunctional (p)ppGpp synthase/hydrolase SpoT"(recommended name)|uniprotkb:spoT(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Wout et al. (2004)	pubmed:15292126	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A898	uniprotkb:P0AG24	-	-	uniprotkb:ybeY(gene name)|uniprotkb:Endoribonuclease YbeY(recommended name)|uniprotkb:ybeY(display_short)	uniprotkb:spoT(gene name)|uniprotkb:"Bifunctional (p)ppGpp synthase/hydrolase SpoT"(recommended name)|uniprotkb:spoT(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Vercruysse et al. (2016)	pubmed:27834201	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A6F3	uniprotkb:P69783	-	-	uniprotkb:glpK(gene name)|uniprotkb:Glycerol kinase(recommended name)|uniprotkb:glpK(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Novotny et al. (1985)	pubmed:2985549	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P02921	uniprotkb:P69783	-	-	uniprotkb:melB(gene name)|uniprotkb:Melibiose carrier protein(recommended name)|uniprotkb:melB(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Hariharan et al. (2014)	pubmed:25296751	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P13518	uniprotkb:P69783	-	-	uniprotkb:csrD(gene name)|uniprotkb:RNase E specificity factor CsrD(recommended name)|uniprotkb:csrD(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Leng et al. (2015)	pubmed:26507976	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P02920	uniprotkb:P69783	-	-	uniprotkb:lacY(gene name)|uniprotkb:Lactose permease(recommended name)|uniprotkb:lacY(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Nelson et al. (1983)	pubmed:16453452	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P00936	uniprotkb:P69783	-	-	uniprotkb:cyaA(gene name)|uniprotkb:Adenylate cyclase(recommended name)|uniprotkb:cyaA(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Park et al. (2006)	pubmed:16407219	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AA04	uniprotkb:P69783	-	-	uniprotkb:ptsH(gene name)|uniprotkb:Phosphocarrier protein HPr(recommended name)|uniprotkb:ptsH(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Wang et al. (2000)	pubmed:11060015	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P04335	uniprotkb:P69783	-	-	uniprotkb:frsA(gene name)|uniprotkb:Esterase FrsA(recommended name)|uniprotkb:frsA(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Koo et al. (2004)	pubmed:15169777	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P68187	uniprotkb:P69783	-	-	uniprotkb:malK(gene name)|uniprotkb:Maltose/maltodextrin import ATP-binding protein MalK(recommended name)|uniprotkb:malK(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Bao et al. (2013)	pubmed:23821551	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P69786	uniprotkb:P69783	-	-	uniprotkb:ptsG(gene name)|uniprotkb:PTS system glucose-specific EIICB component(recommended name)|uniprotkb:ptsG(display_short)	uniprotkb:crr(gene name)|uniprotkb:PTS system glucose-specific EIIA component(recommended name)|uniprotkb:crr(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Cai et al. (2003)	pubmed:12716891	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A7S3	uniprotkb:P0A7M2	-	-	uniprotkb:rpsL(gene name)|uniprotkb:30S ribosomal protein S12(recommended name)|uniprotkb:rpsL(display_short)	uniprotkb:rpmB(gene name)|uniprotkb:50S ribosomal protein L28(recommended name)|uniprotkb:rpmB(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Zheng et al. (2011)	pubmed:21697552	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P37624	uniprotkb:P37642	-	-	uniprotkb:rbbA(gene name)|uniprotkb:Ribosome-associated ATPase(recommended name)|uniprotkb:rbbA(display_short)	uniprotkb:yhjD(gene name)|uniprotkb:Inner membrane protein YhjD(recommended name)|uniprotkb:yhjD(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Babu et al. (2011)	pubmed:21556145	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P05852	uniprotkb:P76256	-	-	uniprotkb:tsaD(gene name)|uniprotkb:tRNA N6-adenosine threonylcarbamoyltransferase(recommended name)|uniprotkb:tsaD(display_short)	uniprotkb:tsaB(gene name)|uniprotkb:tRNA threonylcarbamoyladenosine biosynthesis protein TsaB(recommended name)|uniprotkb:tsaB(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Handford et al. (2009)	pubmed:19376873	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0AF67	uniprotkb:P76256	-	-	uniprotkb:tsaE(gene name)|uniprotkb:tRNA threonylcarbamoyladenosine biosynthesis protein TsaE(recommended name)|uniprotkb:tsaE(display_short)	uniprotkb:tsaB(gene name)|uniprotkb:tRNA threonylcarbamoyladenosine biosynthesis protein TsaB(recommended name)|uniprotkb:tsaB(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Handford et al. (2009)	pubmed:19376873	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P0A821	uniprotkb:P16456	-	-	uniprotkb:selA(gene name)|uniprotkb:"L-seryl-tRNA(Sec) selenium transferase"(recommended name)|uniprotkb:selA(display_short)	uniprotkb:selD(gene name)|uniprotkb:Selenide, water dikinase(recommended name)|uniprotkb:selD(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Silva et al. (2015)	pubmed:26378233	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
uniprotkb:P80645	uniprotkb:P80644	-	-	uniprotkb:ssuD(gene name)|uniprotkb:Alkanesulfonate monooxygenase(recommended name)|uniprotkb:ssuD(display_short)	uniprotkb:ssuE(gene name)|uniprotkb:"FMN reductase (NADPH)"(recommended name)|uniprotkb:ssuE(display_short)	psi-mi:"MI:0045"(experimental interaction detection)	Abdurachim et al. (2006)	pubmed:16997955	taxid:83333("Escherichia coli (strain K12)")	taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0466"(ecocyc)	-	-
