"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0046","NP_248736.1","hypothetical protein","118","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0047","NP_248737.1","hypothetical protein","170","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0048","NP_248738.1","probable transcriptional regulator","128","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0049","NP_248739.1","hypothetical protein","554","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0050","NP_248740.1","hypothetical protein","47","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0051","NP_248741.1","potential phenazine-modifying enzyme","611","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0052","NP_248742.1","hypothetical protein","143","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0053","NP_248743","hypothetical protein","85","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0054","NP_248744.1","conserved hypothetical protein","183","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0055","NP_248745.1","hypothetical protein","169","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0056","NP_248746.1","probable transcriptional regulator","307","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0057","NP_248747.1","hypothetical protein","296","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0058","NP_248748.1","DsbM","235","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0059","NP_248749.1","osmotically inducible protein OsmC","152","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0059","NP_248749.1","osmotically inducible protein OsmC","152","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0060","NP_248750.1","conserved hypothetical protein","78","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0061","NP_248751.1","hypothetical protein","146","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0062","NP_248752.1","hypothetical protein","139","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0063","NP_248753.1","hypothetical protein","376","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0064","NP_248754.1","hypothetical protein","328","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0065","NP_248755.1","hypothetical protein","222","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0066","NP_248756.1","conserved hypothetical protein","181","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0066","NP_248756.1","conserved hypothetical protein","181","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0067","NP_248757.1","oligopeptidase A","682","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0067","NP_248757.1","oligopeptidase A","682","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0068","NP_248758.1","hypothetical protein","92","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0069","NP_248759.1","conserved hypothetical protein","353","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0070","NP_248760.1","TagQ1","305","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0070","NP_248760.1","TagQ1","305","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0071","NP_248761.1","TagR1","571","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0071","NP_248761.1","TagR1","571","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0072","NP_248762.1","TagS1","400","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0073","NP_248763.1","TagT1","240","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0074","NP_248764.1","serine/threonine protein kinase PpkA","1033","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0074","NP_248764.1","serine/threonine protein kinase PpkA","1033","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0075","NP_248765.1","PppA","243","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0076","NP_248766.1","TagF1","227","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0077","NP_248767.1","IcmF1","1102","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0077","NP_248767.1","IcmF1","1102","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0078","NP_248768.1","TssL1","450","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0079","NP_248769.1","TssK1","445","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0080","NP_248770.1","TssJ1","155","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0080","NP_248770.1","TssJ1","155","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0081","NP_248771.1","Fha1","498","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0082","NP_248772.1","TssA1","345","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0083","NP_248773.1","TssB1","173","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0083","NP_248773.1","TssB1","173","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0084","NP_248774.1","TssC1","499","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0085","NP_248775.1","Hcp1","163","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0085","NP_248775.1","Hcp1","163","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0086","NP_248776.1","TagJ1","282","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0087","NP_248777.1","TssE1","170","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0088","NP_248778.1","TssF1","620","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0089","NP_248779.1","TssG1","349","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0090","NP_248780.1","ClpV1","903","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0091","NP_248781.1","VgrG1","644","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0091","NP_248781.1","VgrG1","644","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0092","NP_248782.1","Tsi6","95","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0093","NP_248783.1","Tse6","431","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0094","NP_248784.1","EagT6","145","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0095","NP_248785.1","vgrG1b","742","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0096","NP_248786.1","hypothetical protein","150","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0097","NP_248787.1","hypothetical protein","400","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0098","NP_248788.1","hypothetical protein","346","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0099","NP_248789.1","type VI effector protein","387","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0100","NP_248790.1","hypothetical protein","307","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0101","NP_248791.1","hypothetical protein","416","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0102","NP_248792.1","probable carbonic anhydrase","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0103","NP_248793.1","probable sulfate transporter","524","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0104","NP_248794","hypothetical protein","199","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0105","NP_248795.1","cytochrome c oxidase, subunit II","375","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0106","NP_248796.1","cytochrome c oxidase, subunit I","531","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0106","NP_248796.1","cytochrome c oxidase, subunit I","531","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0107","NP_248797.1","conserved hypothetical protein","185","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0108","NP_248798.1","cytochrome c oxidase, subunit III","296","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0108","NP_248798.1","cytochrome c oxidase, subunit III","296","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0109","NP_248799.1","hypothetical protein","70","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0110","NP_248800.1","hypothetical protein","265","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0111","NP_248801.1","hypothetical protein","193","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0112","NP_248802.1","hypothetical protein","358","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0113","NP_248803.1","probable cytochrome c oxidase assembly factor","305","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0113","NP_248803.1","probable cytochrome c oxidase assembly factor","305","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0114","NP_248804.1","SenC","212","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0114","NP_248804.1","SenC","212","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0115","NP_248805.1","conserved hypothetical protein","151","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0116","NP_248806.1","hypothetical protein","158","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0117","NP_248807.1","probable short chain dehydrogenase","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0118","NP_248808.1","hypothetical protein","196","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0119","NP_248809.1","probable dicarboxylate transporter","450","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0119","NP_248809.1","probable dicarboxylate transporter","450","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0120","NP_248810.1","probable transcriptional regulator","229","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0121","NP_248811.1","hypothetical protein","245","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0122","NP_248812.1","rahU","137","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0123","NP_248813.1","probable transcriptional regulator","303","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0123","NP_248813.1","probable transcriptional regulator","303","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0124","NP_248814.1","hypothetical protein","94","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0125","NP_248815.1","hypothetical protein","76","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0126","NP_248816.1","hypothetical protein","207","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0126","NP_248816.1","hypothetical protein","207","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0127","NP_248817.1","hypothetical protein","167","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0128","NP_248818.1","conserved hypothetical protein","114","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0129","NP_248819.1","Amino acid permease","476","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0129","NP_248819.1","Amino acid permease","476","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0130","NP_248820.1","3-Oxopropanoate dehydrogenase","498","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0131","NP_248821.1","BauB","96","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0132","NP_248822.1","Beta-alanine:pyruvate transaminase","449","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0133","NP_248823.1","BauR","306","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0134","NP_248824.1","probable guanine deaminase","457","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0135","NP_248825.1","hypothetical protein","47","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0136","NP_248826.1","probable ATP-binding component of ABC transporter","524","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0136","NP_248826.1","probable ATP-binding component of ABC transporter","524","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0137","NP_248827.1","probable permease of ABC transporter","366","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0138","NP_248828.1","probable permease of ABC transporter","309","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0139","NP_248829.1","alkyl hydroperoxide reductase subunit C","188","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0139","NP_248829.1","alkyl hydroperoxide reductase subunit C","188","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0140","NP_248830.1","alkyl hydroperoxide reductase subunit F","522","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0140","NP_248830.1","alkyl hydroperoxide reductase subunit F","522","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0141","NP_248831.1","conserved hypothetical protein","299","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0141","NP_248831.1","conserved hypothetical protein","299","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0142","NP_248832.1","hypothetical protein","450","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0143","NP_248833.2","purine nucleosidase Nuh","351","Periplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0143","NP_248833.2","purine nucleosidase Nuh","351","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0144","NP_248834.1","hypothetical protein","209","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0145","NP_248835.1","hypothetical protein","173","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0146","NP_248836.1","conserved hypothetical protein","366","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0147","NP_248837.1","probable oxidoreductase","321","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0148","NP_248838.1","adenine deaminase","317","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0149","NP_248839.1","probable sigma-70 factor, ECF subfamily","182","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0150","NP_248840.1","anti-sigma factor","332","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0151","NP_248841.1","probable TonB-dependent receptor","796","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0151","NP_248841.1","probable TonB-dependent receptor","796","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0152","NP_248842.1","transcriptional regulator PcaQ","276","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0153","NP_248843.1","protocatechuate 3,4-dioxygenase, beta subunit","240","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0154","NP_248844.1","protocatechuate 3,4-dioxygenase, alpha subunit","202","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0155","NP_248845.1","transcriptional regulator PcaR","280","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0156","NP_248846.1","Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA","384","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0156","NP_248846.1","Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA","384","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0157","NP_248847.1","Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB","357","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0158","NP_248848.1","Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC","1016","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA0158","NP_248848.1","Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC","1016","Cytoplasmic Membrane","Class 3","Primary"
